plot_id,press_cm,gal_3inac
B42-p10,2.5,5017.08142084872
B42-p10,10,4882.948020095099
B42-p10,25,4580.840222984881
B42-p10,50,4333.800955083144
B42-p10,100,4151.367224241637
B42-p10,200,3763.426356465684
B42-p10,500,3623.1400474206134
B42-p11,2.5,4774.964479580147
B42-p11,10,4680.209691891809
B42-p11,25,4304.574640698756
B42-p11,50,4017.5414689025924
B42-p11,100,3831.4159930862143
B42-p11,200,3477.0084754986665
B42-p11,500,3196.743502823097
B42-p12,2.5,4998.007405145225
B42-p12,10,4732.81705778371
B42-p12,25,4355.336134103222
B42-p12,50,4079.070551817096
B42-p12,100,3840.337710108817
B42-p12,200,3622.524756591471
B42-p12,500,3555.765701629233
B42-p13,2.5,5049.6918347934125
B42-p13,10,4884.178601753394
B42-p13,25,4487.931307783983
B42-p13,50,4181.51647486975
B42-p13,100,3860.9499528851793
B42-p13,200,3543.152239631762
B42-p13,500,3470.8555672072184
B42-p14,2.5,5099.8380373687305
B42-p14,10,5060.459424303449
B42-p14,25,4510.081777633202
B42-p14,50,4287.038852068123
B42-p14,100,3965.8570392544075
B42-p14,200,3611.7571670814323
B42-p14,500,3516.6947339785224
B42-p15,2.5,5227.203239001757
B42-p15,10,5059.844133474303
B42-p15,25,4531.001665824134
B42-p15,50,4175.055921163723
B42-p15,100,3807.7272961641293
B42-p15,200,3481.623156717253
B42-p15,500,3444.705706968551
B42-p16,2.5,5119.527343901376
B42-p16,10,5026.926074115046
B42-p16,25,4761.73572675353
B42-p16,50,4549.7680361130615
B42-p16,100,4403.021173361968
B42-p16,200,4028.3090584126326
B42-p16,500,3795.4214795812322
B42-p18,2.5,5496.085331338145
B42-p18,10,5496.085331338145
B42-p18,25,5150.5995307732
B42-p18,50,4914.3278523815015
B42-p18,100,4731.586476125422
B42-p18,200,4336.569763814301
B42-p18,500,4083.377587621114
B42-p2,2.5,5234.279083536929
B42-p2,10,5146.292494969188
B42-p2,25,4604.528919906973
B42-p2,50,4301.805831967608
B42-p2,100,4138.138471415025
B42-p2,200,3786.8074079732028
B42-p2,500,3786.8074079732028
B42-p20,2.5,5186.286398863614
B42-p20,10,5096.146292393864
B42-p20,25,4725.433567833972
B42-p20,50,4338.107990887165
B42-p20,100,4093.83753171658
B42-p20,200,3723.124807156689
B42-p20,500,3536.9993313403115
B42-p21,2.5,5519.466382845655
B42-p21,10,5423.788658913601
B42-p21,25,4954.321756275928
B42-p21,50,4648.214568776268
B42-p21,100,4506.6976780729065
B42-p21,200,4216.2804067164425
B42-p21,500,4101.528667080892
B42-p22,2.5,5509.006438750188
B42-p22,10,5339.801460735301
B42-p22,25,4646.061050874258
B42-p22,50,4184.900574430046
B42-p22,100,3790.191507533497
B42-p22,200,3439.1680895062464
B42-p22,500,3422.862882533903
B42-p26,2.5,5774.5044315262785
B42-p26,10,5347.492596099614
B42-p26,25,4815.57367430372
B42-p26,50,4460.243220472455
B42-p26,100,4086.4540417668377
B42-p26,200,3663.4415967296172
B42-p26,500,3624.062983664334
B42-p27,2.5,4629.755843901919
B42-p27,10,4615.6041548315825
B42-p27,25,4424.556352382046
B42-p27,50,4242.430266955111
B42-p27,100,3902.4820838524715
B42-p27,200,3546.8439846066335
B42-p27,500,3420.4017192173264
B42-p31,2.5,4756.198109291225
B42-p31,10,4701.437225497316
B42-p31,25,4406.712918336838
B42-p31,50,4125.832654832124
B42-p31,100,3947.3983143800588
B42-p31,200,3583.761434355336
B42-p31,500,3291.80593592601
B42-p34,2.5,5151.2148216023425
B42-p34,10,4976.164580710576
B42-p34,25,4461.781447545315
B42-p34,50,4092.2993046437145
B42-p34,100,3716.9718988652353
B42-p34,200,3360.41086337568
B42-p34,500,3334.8762939661606
B42-p5,2.5,5126.910833851114
B42-p5,10,4865.71987687904
B42-p5,25,4365.7960781986885
B42-p5,50,4023.0790863648967
B42-p5,100,3768.0410376842747
B42-p5,200,3504.388917395621
B42-p5,500,3453.627423991155
B42-p6,2.5,4979.241034856302
B42-p6,10,4817.11190137658
B42-p6,25,4505.159451000042
B42-p6,50,4290.730597042992
B42-p6,100,3960.6270672066744
B42-p6,200,3620.063593274889
B42-p6,500,3553.9198291417974
B42-p7,2.5,4979.241034856305
B42-p7,10,4962.935827883961
B42-p7,25,4592.22310332407
B42-p7,50,4300.575250309317
B42-p7,100,4117.833874053238
B42-p7,200,3753.8893486139414
B42-p7,500,3483.776674619266
F-1cc,2.5,4088.9152050834186
F-1cc,10,4013.8497239277226
F-1cc,25,3982.1622462267524
F-1cc,50,3811.1113957244293
F-1cc,100,3560.072737433249
F-1cc,200,3213.048709795442
F-1cc,500,3009.6950907630035
F-2no,2.5,4042.76839289754
F-2no,10,3989.8533815910655
F-2no,25,3785.884471729482
F-2no,50,3611.4495216668606
F-2no,100,3345.028592647054
F-2no,200,3004.4651187152704
F-2no,500,2974.6235135017346
F-3cc,2.5,4138.753762244172
F-3cc,10,4035.077257533232
F-3cc,25,3813.5725590410143
F-3cc,50,3552.6892474835136
F-3cc,100,3289.652418024005
F-3cc,200,3004.772764129848
F-3cc,500,2784.1910018813483
F-4no,2.5,4603.298338248676
F-4no,10,4407.6358545805515
F-4no,25,4058.765954455309
F-4no,50,3817.2643040158778
F-4no,100,3547.4592754357736
F-4no,200,3220.4321997451802
F-4no,500,3183.2071045819052
F-5cc,2.5,4335.954472985156
F-5cc,10,4254.73608353801
F-5cc,25,4119.0644557115265
F-5cc,50,4029.2319946563493
F-5cc,100,3863.411116201759
F-5cc,200,3546.5363391920596
F-5cc,500,3362.8720266922624
F-6no,2.5,5034.001918650211
F-6no,10,4748.814619341481
F-6no,25,4381.793639756461
F-6no,50,4115.065065322083
F-6no,100,3826.8013118676276
F-6no,200,3466.856176817774
F-6no,500,3411.7876476092924
F-7no,2.5,5536.0792352325725
F-7no,10,5143.831331652604
F-7no,25,4514.081168022647
F-7no,50,4189.822901063207
F-7no,100,3921.2484541413933
F-7no,200,3567.148581968418
F-7no,500,3380.407815322896
F-8cc,2.5,5353.953149805638
F-8cc,10,5085.378702883826
F-8cc,25,4617.757672733588
F-8cc,50,4380.870703512745
F-8cc,100,4188.592319404917
F-8cc,200,3917.556709166524
F-8cc,500,3756.9658027596656
St-1no,2.5,4862.335777318742
St-1no,10,4790.0391048942
St-1no,25,4555.305653575364
St-1no,50,4460.550865887026
St-1no,100,4335.031536741437
St-1no,200,4191.053482721495
St-1no,500,4087.376978010554
St-2cc,2.5,4928.4795414518385
St-2cc,10,4754.044591389218
St-2cc,25,4466.70377417848
St-2cc,50,4381.793639756463
St-2cc,100,4267.041900120911
St-2cc,200,4129.832045221566
St-2cc,500,4046.460137872411
St-3no,2.5,5177.057036426436
St-3no,10,5009.082640069836
St-3no,25,4663.289194090319
St-3no,50,4566.380888499974
St-3no,100,4471.933746226209
St-3no,200,4351.3367437137795
St-3no,500,4340.876799618314
St-4cc,2.5,5263.505397921316
St-4cc,10,4993.085078512068
St-4cc,25,4473.164327884502
St-4cc,50,4302.421122796752
St-4cc,100,4190.745837306926
St-4cc,200,4071.071771038213
St-4cc,500,4000.9286165156786
St-5no,2.5,4866.0275222936125
St-5no,10,4726.66414949226
St-5no,25,4395.637683412224
St-5no,50,4287.961788311841
St-5no,100,4187.6693831611965
St-5no,200,4067.072380648768
St-5no,500,3974.1634654478657
St-6cc,2.5,5148.7536582857665
St-6cc,10,4914.6354977960755
St-6cc,25,4541.15396450503
St-6cc,50,4414.4040537011515
St-6cc,100,4302.11347738218
St-6cc,200,4160.288941264246
St-6cc,500,4058.1506636261674
St-7no,2.5,5196.438697544505
St-7no,10,5015.235548361287
St-7no,25,4620.52648146474
St-7no,50,4479.932527005098
St-7no,100,4337.800345472591
St-7no,200,4170.133594530565
St-7no,500,4126.140300246694
St-8cc,2.5,4975.241644466861
St-8cc,10,4850.337606150417
St-8cc,25,4566.996179329122
St-8cc,50,4461.781447545319
St-8cc,100,4348.2602895680575
St-8cc,200,4198.129327256665
St-8cc,500,4093.2222408874345
St-9no,2.5,4766.658053386689
St-9no,10,4615.911800246152
St-9no,25,4366.411369027835
St-9no,50,4285.192979580689
St-9no,100,4190.130546477779
St-9no,200,4059.9965361136015
St-9no,500,3953.5512226715077
